ID Investigación,Código Investigación,Expediente,Tipo producto,Título,Incluir en ficha,Orden,Link inicial,Requiere edición,Link del editable,Link para ficha,% de Avance,Estado de edición,Fecha estimada,Notas
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Anexo,Formulario Bogotá Sabe a Centro 2023,Sí,,https://drive.google.com/file/d/14ZKybEN0NJXRVV25AfrWfGcryzQ09L58/view?usp=drive_link,,,https://drive.google.com/file/d/14ZKybEN0NJXRVV25AfrWfGcryzQ09L58/view?usp=drive_link,,5 Finalizado,,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Base de datos,Base de datos Corredor Cultural de la Carrera 7,,,https://docs.google.com/spreadsheets/d/1Qgtdw_YwahnTU8_y-0OvKnNYeO22lPXA/edit?usp=drive_link&ouid=105090632649587320414&rtpof=true&sd=true,,,,,,,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Informe cuantitativo,Procesamiento de datos Corredor cultural de la Carrera 7,,,https://drive.google.com/drive/folders/1tZgR08E0Am1YajIkJgOKv5FFGsCWi62w?usp=sharing,,,,,,,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Anexo,Formulario Corredor Cultural de la Carrera 7,,,https://docs.google.com/spreadsheets/d/1jYiw93YfSa-Or_c3PwhMYOMecnOb5O9m/edit?usp=drive_link&ouid=105090632649587320414&rtpof=true&sd=true,,,,,,,
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Carpeta archivos,Carpeta equipo Analítica,No,,https://drive.google.com/drive/folders/1rW0o89EvxI6ma84JGfOyJv4aeOJb4tlQ,No,,,,0 No aplica,,
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Informe final,Informe final de la investigación,Sí,1,https://docs.google.com/presentation/d/1_vkxnG5KC4tkFdm-o0t2b0yc7vIRD030sWiuuTlrPM0/edit?usp=sharing,Sí,,https://drive.google.com/file/d/1b5PNPdxmjZkTNjClwt4-df80KKb9cy0E/view?usp=drive_link,100,4 En revisión,12/07/2023,Documento finalizado 21/Jul
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Base de datos,Base de datos anonimizadas,Sí,2,https://drive.google.com/drive/folders/1Dep-GSljpfcBwlvQXECr5JAj0eG0cXLO?usp=sharing,No,,https://drive.google.com/drive/folders/1oXNaAZpefArYqHwxb7Jy0Facdkbxx0DE,,0 No aplica,,Actualizar en ficha
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Informe cuantitativo,Procesamientos Estadísticos - Salsa al Parque 2023,Sí,3,https://drive.google.com/drive/folders/19gIZ1xA-J8CGjdmP9ohZm34xWT_TtYr6?usp=sharing,No,,https://drive.google.com/drive/folders/10BE3jOAev9CV32OGmnHHto7dzOrfQ6BX,,2 En proceso,,Actualziar en fica
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Presentación,Presentación final ,Sí,4,https://docs.google.com/presentation/d/1MIPHwmhSBsBkHzLuYXiw6cUC7GIG_fJs/edit?usp=drive_link&ouid=115906425371686900342&rtpof=true&sd=true,No,,https://drive.google.com/file/d/1A8-pskZ-2c7N-XnscA1qtOKR1qSA-2gi/view?usp=drive_link,,0 No aplica,,
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Anexo,Inf de conteos Festival Salsa al parque 2023,Sí,5,https://docs.google.com/document/d/1VJAYUN_poqDuBBhUjg-GmupSSyEIr2Yr/edit,Sí,,https://drive.google.com/file/d/1E9_io2X49eAN78-23GETeBKDZo6dNX9k/view?usp=drive_link,100,5 Finalizado,,Convertido en PDF
